bps,fixed,fee_mult,downtime,fee_mode,policy,capital,days,paid,retained_fees,ending_capital,total_wealth,gross_fees,costs,unrecovered_costs,fee_reserve,rebalances,settlements,max_drawdown,close_in_range_fraction,crossing_bar_fraction,narrow_fraction,gross_fee_apr_pct,spendable_apr_pct
5.0,0.1,2.0,1,strict,fixed_1,190.0,17.99652777777778,35.36312516662245,35.363125166622446,178.97877540036743,214.34190056698986,88.37167116645706,17.645420833212413,0.0,0.0,112,19,0.10962205267275915,0.9444337256415204,0.11653482539070037,0.9783908933050357,943.3299220140709,377.4862879165036
5.0,0.1,2.0,1,strict,fixed_3,190.0,17.99652777777778,18.663363520386063,18.66336352038606,197.29622767752846,215.95959119791453,41.80943253308082,4.482705492308711,0.0,0.0,17,19,0.06219515409955356,0.9915107080841211,0.0136986301369863,0.0,446.2978713686908,199.22345047706398
5.0,0.1,2.0,1,strict,fixed_5,190.0,17.99652777777778,11.599669083728706,11.599669083728706,198.13311075312893,209.73277983685765,26.229922579239027,3.0305844117816445,0.0,0.0,7,19,0.0673455006500987,0.9959482924946942,0.0040517075053058075,0.0,279.99324324762193,123.82152320659256
5.0,0.1,2.0,1,strict,economic_3_30m_5,190.0,17.99652777777778,18.663363520386063,18.66336352038606,197.29622767752846,215.95959119791453,41.80943253308082,4.482705492308711,0.0,0.0,17,19,0.06219515409955356,0.9915107080841211,0.0136986301369863,0.0,446.2978713686908,199.22345047706398
5.0,0.5,0.5,1,strict,fixed_1,190.0,17.99652777777778,0.0,0.0,100.96116291358587,100.96116291358587,17.069793985324655,68.4700770908292,51.4002831055046,0.0,112,17,0.4687957903728861,0.9444337256415204,0.11653482539070037,0.9783908933050357,182.21277493600817,0.0
5.0,0.5,0.5,1,strict,fixed_3,190.0,17.99652777777778,0.0,0.0,172.59903831221052,172.59903831221052,9.804654015013657,16.22783696737272,6.423182952359062,0.0,17,13,0.10777334321473564,0.9915107080841211,0.0136986301369863,0.0,104.66050245826291,0.0
5.0,0.5,0.5,1,strict,fixed_5,190.0,17.99652777777778,0.0,0.0,184.30982989978952,184.30982989978952,6.319208785623717,8.316726624429323,1.9975178388056205,0.0,7,8,0.08959250218796788,0.9959482924946942,0.0040517075053058075,0.0,67.45486027648741,0.0
5.0,0.5,0.5,1,strict,economic_3_30m_5,190.0,17.99652777777778,0.0,0.0,172.59903831221052,172.59903831221052,9.804654015013657,16.22783696737272,6.423182952359062,0.0,17,13,0.10777334321473564,0.9915107080841211,0.0136986301369863,0.0,104.66050245826291,0.0
5.0,0.5,1.0,1,strict,fixed_1,190.0,17.99652777777778,0.0,0.0,117.59558911710897,117.59558911710897,36.22357609697926,69.17507970972837,32.951503612748986,0.0,112,18,0.3855015193473582,0.9444337256415204,0.11653482539070037,0.9783908933050357,386.67123483802914,0.0
5.0,0.5,1.0,1,strict,fixed_3,190.0,17.99652777777778,0.8606749201134309,0.8606749201134309,179.75837946255535,180.6190543826688,19.94635352803411,18.2425389048411,0.017535217033862516,0.0,17,17,0.08595828821281326,0.9915107080841211,0.0136986301369863,0.0,212.9188219449156,9.187337916703786
5.0,0.5,1.0,1,strict,fixed_5,190.0,17.99652777777778,0.22434203080890297,0.22434203080890303,186.50596566039783,186.73030769120675,12.708969124064716,12.31883174964712,0.05854668720025141,0.0,7,16,0.08671285419520947,0.9959482924946942,0.0040517075053058075,0.0,135.6628283072883,2.3947555549653097
5.0,0.5,1.0,1,strict,economic_3_30m_5,190.0,17.99652777777778,0.8606749201134309,0.8606749201134309,179.75837946255535,180.6190543826688,19.94635352803411,18.2425389048411,0.017535217033862516,0.0,17,17,0.08595828821281326,0.9915107080841211,0.0136986301369863,0.0,212.9188219449156,9.187337916703786
5.0,0.5,2.0,1,strict,fixed_1,190.0,17.99652777777778,5.448918840916399,5.448918840916397,152.30328575510833,157.75220459602474,80.99164106502016,70.09380338318726,0.0,0.0,112,19,0.21178885624678823,0.9444337256415204,0.11653482539070037,0.9783908933050357,864.5512463575169,58.16488607056793
5.0,0.5,2.0,1,strict,fixed_3,190.0,17.99652777777778,11.105145979767661,11.10514597976766,189.85642901779877,200.96157499756643,40.97634564960691,18.766053690071537,0.0,0.0,17,18,0.07163667204593838,0.9915107080841211,0.0136986301369863,0.0,437.4050239839433,118.54269985815739
5.0,0.5,2.0,1,strict,fixed_5,190.0,17.99652777777778,6.516848747454988,6.516848747454987,192.96039328595936,199.47724203341434,25.859269076616275,12.825571581706386,0.0,0.0,7,17,0.07619264181303409,0.9959482924946942,0.0040517075053058075,0.0,276.03667509508847,69.56458262665072
5.0,0.5,2.0,1,strict,economic_3_30m_5,190.0,17.99652777777778,11.105145979767661,11.10514597976766,189.85642901779877,200.96157499756643,40.97634564960691,18.766053690071537,0.0,0.0,17,18,0.07163667204593838,0.9915107080841211,0.0136986301369863,0.0,437.4050239839433,118.54269985815739
10.0,0.02,0.5,1,strict,fixed_1,190.0,17.99652777777778,4.79116324284575,4.791163242845751,151.20049792519563,155.9916611680414,20.47467281279801,10.892346327106509,0.0,0.0,112,19,0.21567751223830045,0.9444337256415204,0.11653482539070037,0.9783908933050357,218.55840511808103,51.143625424002074
10.0,0.02,0.5,1,strict,fixed_3,190.0,17.99652777777778,3.9234201017976873,3.923420101797688,182.77573190635326,186.69915200815095,10.087414215130853,2.2405740115354895,0.0,0.0,17,19,0.07767487164937481,0.9915107080841211,0.0136986301369863,0.0,107.67884707033674,41.88083726159132
10.0,0.02,0.5,1,strict,fixed_5,190.0,17.99652777777778,2.616205591230723,2.6162055912307234,189.01039461750597,191.62660020873668,6.41581610752402,1.1834049250625658,0.0,0.0,7,19,0.07998251221451091,0.9959482924946942,0.0040517075053058075,0.0,68.48610225970785,27.92687955057258
